Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev\Rel std dev %	Mean	Mean diff %	Median	Median diff %	P-value	Instruction count	Memory usage
Laravel 12.2.0 demo app	100	50	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.46429	0.47535	0.00138	0.29220	0.47155	0.00	0.47141	0.00	1.000	0	46.64
Laravel 12.2.0 demo app	100	50	100	PHP - previous master	f9d95c649e	https://github.com/php/php-src/commit/f9d95c649e	0.46517	0.46677	0.00037	0.07961	0.46595	-1.19	0.46594	-1.16	0.001	0	46.98
Laravel 12.2.0 demo app	100	50	100	PHP - master	7ca21d2e07	https://github.com/php/php-src/commit/7ca21d2e07	0.46584	0.46764	0.00041	0.08692	0.46648	-1.07	0.46642	-1.06	0.001	0	46.98
Laravel 12.2.0 demo app	100	50	100	PHP - master (JIT)	7ca21d2e07	https://github.com/php/php-src/commit/7ca21d2e07	0.44909	0.45055	0.00034	0.07524	0.44961	-4.65	0.44955	-4.64	0.001	0	58.04
Symfony 2.7.0 demo app	100	50	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.74031	0.74510	0.00113	0.15243	0.74199	0.00	0.74155	0.00	1.000	0	28.05
Symfony 2.7.0 demo app	100	50	100	PHP - previous master	f9d95c649e	https://github.com/php/php-src/commit/f9d95c649e	0.73098	0.74330	0.00294	0.40100	0.73328	-1.17	0.73237	-1.24	0.001	0	27.90
Symfony 2.7.0 demo app	100	50	100	PHP - master	7ca21d2e07	https://github.com/php/php-src/commit/7ca21d2e07	0.72977	0.74362	0.00240	0.32845	0.73178	-1.38	0.73111	-1.41	0.001	0	27.89
Symfony 2.7.0 demo app	100	50	100	PHP - master (JIT)	7ca21d2e07	https://github.com/php/php-src/commit/7ca21d2e07	0.69833	0.70394	0.00109	0.15595	0.70025	-5.63	0.70005	-5.60	0.001	0	29.25
Wordpress 6.2 main page	20	50	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.58217	0.58494	0.00060	0.10236	0.58330	0.00	0.58333	0.00	1.000	0	43.16
Wordpress 6.2 main page	20	50	20	PHP - previous master	f9d95c649e	https://github.com/php/php-src/commit/f9d95c649e	0.58099	0.58379	0.00063	0.10747	0.58221	-0.19	0.58220	-0.19	0.001	0	43.67
Wordpress 6.2 main page	20	50	20	PHP - master	7ca21d2e07	https://github.com/php/php-src/commit/7ca21d2e07	0.57917	0.58214	0.00065	0.11171	0.58040	-0.50	0.58029	-0.52	0.001	0	43.39
Wordpress 6.2 main page	20	50	20	PHP - master (JIT)	7ca21d2e07	https://github.com/php/php-src/commit/7ca21d2e07	0.51256	0.51872	0.00084	0.16320	0.51683	-11.40	0.51688	-11.39	0.001	0	61.46
bench.php	10	25	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.21509	0.21928	0.00117	0.53935	0.21669	0.00	0.21669	0.00	1.000	0	25.33
bench.php	10	25	0	PHP - previous master	f9d95c649e	https://github.com/php/php-src/commit/f9d95c649e	0.22012	0.28594	0.02062	9.00113	0.22905	5.71	0.22141	2.18	0.031	0	25.20
bench.php	10	25	0	PHP - master	7ca21d2e07	https://github.com/php/php-src/commit/7ca21d2e07	0.21575	0.21880	0.00095	0.43612	0.21700	0.14	0.21694	0.11	0.465	0	25.26
bench.php	10	25	0	PHP - master (JIT)	7ca21d2e07	https://github.com/php/php-src/commit/7ca21d2e07	0.08276	0.08428	0.00048	0.57804	0.08349	-61.47	0.08342	-61.50	0.001	0	26.53
micro_bench.php	6	25	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	1.36912	1.41214	0.00944	0.68341	1.38174	0.00	1.38052	0.00	1.000	0	20.64
micro_bench.php	6	25	0	PHP - previous master	f9d95c649e	https://github.com/php/php-src/commit/f9d95c649e	1.24812	1.26378	0.00513	0.40791	1.25641	-9.07	1.25806	-8.87	0.001	0	20.79
micro_bench.php	6	25	0	PHP - master	7ca21d2e07	https://github.com/php/php-src/commit/7ca21d2e07	1.30298	1.32205	0.00509	0.38831	1.31177	-5.06	1.31188	-4.97	0.001	0	20.85
micro_bench.php	6	25	0	PHP - master (JIT)	7ca21d2e07	https://github.com/php/php-src/commit/7ca21d2e07	0.55068	0.56271	0.00327	0.58923	0.55519	-59.82	0.55517	-59.79	0.001	0	22.29
