Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skewness	Z-stat	P-value	Memory usage
Laravel 12.11.0 demo app	50	50	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.39632	0.39866	0.00072	0.18038	0.39707	0.00	0.39667	0.00	0.944	0.000	1.000	26.29
Laravel 12.11.0 demo app	50	50	100	PHP - previous master	b40cae2b1f	https://github.com/php/php-src/commit/b40cae2b1f	0.38794	0.38975	0.00039	0.10132	0.38848	-2.16	0.38840	-2.09	1.612	8.614	0.000	25.33
Laravel 12.11.0 demo app	50	50	100	PHP - master	fad4323634	https://github.com/php/php-src/commit/fad4323634	0.38792	0.39140	0.00066	0.17039	0.38868	-2.11	0.38843	-2.08	2.289	8.614	0.000	25.33
Laravel 12.11.0 demo app	50	50	100	PHP - master (JIT)	fad4323634	https://github.com/php/php-src/commit/fad4323634	0.36164	0.36372	0.00041	0.11243	0.36217	-8.79	0.36209	-8.72	2.107	8.614	0.000	25.39
Symfony 2.8.0 demo app	50	50	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.66853	0.67238	0.00071	0.10677	0.66937	0.00	0.66917	0.00	2.241	0.000	1.000	26.74
Symfony 2.8.0 demo app	50	50	100	PHP - previous master	b40cae2b1f	https://github.com/php/php-src/commit/b40cae2b1f	0.66347	0.66463	0.00028	0.04182	0.66391	-0.81	0.66386	-0.79	1.043	8.614	0.000	25.27
Symfony 2.8.0 demo app	50	50	100	PHP - master	fad4323634	https://github.com/php/php-src/commit/fad4323634	0.66311	0.66577	0.00045	0.06794	0.66374	-0.84	0.66366	-0.82	2.075	8.614	0.000	25.26
Symfony 2.8.0 demo app	50	50	100	PHP - master (JIT)	fad4323634	https://github.com/php/php-src/commit/fad4323634	0.63106	0.63333	0.00050	0.07970	0.63168	-5.63	0.63153	-5.63	1.614	8.614	0.000	25.32
Wordpress 6.9 main page	20	50	20	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.58919	0.59454	0.00129	0.21840	0.59168	0.00	0.59181	0.00	0.062	0.000	1.000	26.74
Wordpress 6.9 main page	20	50	20	PHP - previous master	b40cae2b1f	https://github.com/php/php-src/commit/b40cae2b1f	0.58741	0.58952	0.00051	0.08692	0.58794	-0.63	0.58778	-0.68	1.620	8.586	0.000	25.34
Wordpress 6.9 main page	20	50	20	PHP - master	fad4323634	https://github.com/php/php-src/commit/fad4323634	0.58720	0.58981	0.00057	0.09629	0.58792	-0.63	0.58773	-0.69	1.548	8.566	0.000	25.33
Wordpress 6.9 main page	20	50	20	PHP - master (JIT)	fad4323634	https://github.com/php/php-src/commit/fad4323634	0.51760	0.52146	0.00053	0.10266	0.51839	-12.39	0.51833	-12.42	4.021	8.614	0.000	25.39
bench.php	20	50	2	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.44148	0.44524	0.00066	0.14922	0.44275	0.00	0.44269	0.00	0.948	0.000	1.000	26.74
bench.php	20	50	2	PHP - previous master	b40cae2b1f	https://github.com/php/php-src/commit/b40cae2b1f	0.44509	0.44999	0.00072	0.16180	0.44655	0.86	0.44657	0.87	1.889	-8.607	0.000	25.34
bench.php	20	50	2	PHP - master	fad4323634	https://github.com/php/php-src/commit/fad4323634	0.44450	0.44959	0.00072	0.16129	0.44641	0.83	0.44631	0.82	1.382	-8.600	0.000	25.33
bench.php	20	50	2	PHP - master (JIT)	fad4323634	https://github.com/php/php-src/commit/fad4323634	0.14326	0.14406	0.00017	0.12133	0.14360	-67.57	0.14360	-67.56	0.224	8.614	0.000	25.39
