Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skewness	Z-stat	P-value	Memory usage
Laravel 12.11.0 demo app	50	50	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.39962	0.40158	0.00059	0.14730	0.40022	0.00	0.39998	0.00	1.329	0.000	1.000	26.28
Laravel 12.11.0 demo app	50	50	100	PHP - previous master	5fc9d9d9a7	https://github.com/php/php-src/commit/5fc9d9d9a7	0.39482	0.39779	0.00052	0.13060	0.39533	-1.22	0.39520	-1.20	3.106	8.614	0.000	25.26
Laravel 12.11.0 demo app	50	50	100	PHP - master	031b4c66c4	https://github.com/php/php-src/commit/031b4c66c4	0.39478	0.39798	0.00050	0.12572	0.39532	-1.22	0.39521	-1.19	3.654	8.614	0.000	25.30
Laravel 12.11.0 demo app	50	50	100	PHP - master (JIT)	031b4c66c4	https://github.com/php/php-src/commit/031b4c66c4	0.36829	0.37029	0.00038	0.10314	0.36890	-7.82	0.36883	-7.79	1.815	8.614	0.000	25.31
Symfony 2.8.0 demo app	50	50	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.67322	0.67491	0.00040	0.05899	0.67391	0.00	0.67379	0.00	0.566	0.000	1.000	26.71
Symfony 2.8.0 demo app	50	50	100	PHP - previous master	5fc9d9d9a7	https://github.com/php/php-src/commit/5fc9d9d9a7	0.66713	0.68034	0.00179	0.26705	0.66953	-0.65	0.66920	-0.68	4.723	8.269	0.000	25.23
Symfony 2.8.0 demo app	50	50	100	PHP - master	031b4c66c4	https://github.com/php/php-src/commit/031b4c66c4	0.66795	0.68125	0.00201	0.29994	0.66983	-0.61	0.66937	-0.66	4.335	7.924	0.000	25.23
Symfony 2.8.0 demo app	50	50	100	PHP - master (JIT)	031b4c66c4	https://github.com/php/php-src/commit/031b4c66c4	0.63614	0.64463	0.00119	0.18626	0.63713	-5.46	0.63693	-5.47	5.385	8.614	0.000	25.34
Wordpress 6.9 main page	20	50	20	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.59657	0.60232	0.00124	0.20700	0.59952	0.00	0.59959	0.00	0.082	0.000	1.000	26.77
Wordpress 6.9 main page	20	50	20	PHP - previous master	5fc9d9d9a7	https://github.com/php/php-src/commit/5fc9d9d9a7	0.59591	0.59881	0.00047	0.07854	0.59662	-0.48	0.59660	-0.50	2.622	8.290	0.000	25.32
Wordpress 6.9 main page	20	50	20	PHP - master	031b4c66c4	https://github.com/php/php-src/commit/031b4c66c4	0.59618	0.59986	0.00079	0.13254	0.59713	-0.40	0.59694	-0.44	2.234	7.504	0.000	25.32
Wordpress 6.9 main page	20	50	20	PHP - master (JIT)	031b4c66c4	https://github.com/php/php-src/commit/031b4c66c4	0.52723	0.53146	0.00085	0.16011	0.52811	-11.91	0.52791	-11.95	2.800	8.614	0.000	25.44
bench.php	20	50	2	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.44231	0.44436	0.00055	0.12501	0.44306	0.00	0.44300	0.00	0.619	0.000	1.000	26.77
bench.php	20	50	2	PHP - previous master	5fc9d9d9a7	https://github.com/php/php-src/commit/5fc9d9d9a7	0.44458	0.44688	0.00054	0.12028	0.44574	0.61	0.44573	0.62	0.034	-8.614	0.000	25.32
bench.php	20	50	2	PHP - master	031b4c66c4	https://github.com/php/php-src/commit/031b4c66c4	0.44469	0.44678	0.00050	0.11299	0.44570	0.60	0.44572	0.61	-0.242	-8.614	0.000	25.32
bench.php	20	50	2	PHP - master (JIT)	031b4c66c4	https://github.com/php/php-src/commit/031b4c66c4	0.14347	0.14469	0.00025	0.17192	0.14398	-67.50	0.14395	-67.51	0.597	8.614	0.000	25.44
