Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skewness	Z-stat	P-value	Memory usage
Laravel 12.11.0 demo app	50	50	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.39978	0.40064	0.00020	0.04941	0.40022	0.00	0.40020	0.00	0.193	0.000	1.000	26.71
Laravel 12.11.0 demo app	50	50	100	PHP - previous master	6f0aa11d23	https://github.com/php/php-src/commit/6f0aa11d23	0.39243	0.39374	0.00025	0.06280	0.39307	-1.79	0.39304	-1.79	0.377	8.614	0.000	25.72
Laravel 12.11.0 demo app	50	50	100	PHP - master	5cd9a3b047	https://github.com/php/php-src/commit/5cd9a3b047	0.39216	0.39353	0.00032	0.08152	0.39266	-1.89	0.39261	-1.90	1.166	8.614	0.000	25.79
Laravel 12.11.0 demo app	50	50	100	PHP - master (JIT)	5cd9a3b047	https://github.com/php/php-src/commit/5cd9a3b047	0.36621	0.36855	0.00042	0.11442	0.36669	-8.38	0.36659	-8.40	2.322	8.614	0.000	25.85
Symfony 2.8.0 demo app	50	50	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.67949	0.68453	0.00080	0.11770	0.68040	0.00	0.68027	0.00	3.011	0.000	1.000	26.79
Symfony 2.8.0 demo app	50	50	100	PHP - previous master	6f0aa11d23	https://github.com/php/php-src/commit/6f0aa11d23	0.67288	0.67603	0.00067	0.09904	0.67383	-0.97	0.67372	-0.96	1.065	8.614	0.000	25.79
Symfony 2.8.0 demo app	50	50	100	PHP - master	5cd9a3b047	https://github.com/php/php-src/commit/5cd9a3b047	0.67080	0.67493	0.00070	0.10391	0.67159	-1.29	0.67138	-1.31	2.747	8.614	0.000	25.79
Symfony 2.8.0 demo app	50	50	100	PHP - master (JIT)	5cd9a3b047	https://github.com/php/php-src/commit/5cd9a3b047	0.64144	0.64350	0.00046	0.07239	0.64206	-5.63	0.64193	-5.64	1.277	8.614	0.000	25.82
Wordpress 6.9 main page	20	50	20	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.58900	0.59763	0.00134	0.22592	0.59523	0.00	0.59537	0.00	-1.910	0.000	1.000	26.66
Wordpress 6.9 main page	20	50	20	PHP - previous master	6f0aa11d23	https://github.com/php/php-src/commit/6f0aa11d23	0.59019	0.59900	0.00142	0.24004	0.59140	-0.64	0.59100	-0.73	3.470	7.876	0.000	25.81
Wordpress 6.9 main page	20	50	20	PHP - master	5cd9a3b047	https://github.com/php/php-src/commit/5cd9a3b047	0.58931	0.59238	0.00062	0.10472	0.59018	-0.85	0.58998	-0.90	1.483	8.269	0.000	25.87
Wordpress 6.9 main page	20	50	20	PHP - master (JIT)	5cd9a3b047	https://github.com/php/php-src/commit/5cd9a3b047	0.52092	0.52445	0.00062	0.11891	0.52183	-12.33	0.52177	-12.36	1.772	8.614	0.000	26.28
bench.php	20	50	2	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.44346	0.44613	0.00053	0.12024	0.44466	0.00	0.44468	0.00	0.201	0.000	1.000	26.67
bench.php	20	50	2	PHP - previous master	6f0aa11d23	https://github.com/php/php-src/commit/6f0aa11d23	0.44886	0.45192	0.00065	0.14342	0.45029	1.27	0.45039	1.28	-0.368	-8.614	0.000	25.82
bench.php	20	50	2	PHP - master	5cd9a3b047	https://github.com/php/php-src/commit/5cd9a3b047	0.44954	0.45218	0.00060	0.13277	0.45083	1.39	0.45082	1.38	0.183	-8.614	0.000	25.88
bench.php	20	50	2	PHP - master (JIT)	5cd9a3b047	https://github.com/php/php-src/commit/5cd9a3b047	0.14436	0.14522	0.00020	0.13772	0.14479	-67.44	0.14481	-67.44	-0.109	8.614	0.000	26.29
