Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev\Rel std dev %	Mean	Mean diff %	Median	Median diff %	P-value	Instruction count	Memory usage
Laravel 12.2.0 demo app	50	30	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.46480	0.47411	0.00346	0.73576	0.46986	0.00	0.47179	0.00	0.000	0	46.64
Laravel 12.2.0 demo app	50	30	100	PHP - previous master	60047025db	https://github.com/php/php-src/commit/60047025db	0.45963	0.46727	0.00293	0.63115	0.46436	-1.17	0.46615	-1.20	0.000	0	46.92
Laravel 12.2.0 demo app	50	30	100	PHP - master	359f4420a4	https://github.com/php/php-src/commit/359f4420a4	0.46038	0.46752	0.00293	0.63041	0.46501	-1.03	0.46675	-1.07	0.000	0	46.92
Laravel 12.2.0 demo app	50	30	100	PHP - master (JIT)	359f4420a4	https://github.com/php/php-src/commit/359f4420a4	0.44478	0.45160	0.00287	0.63866	0.44916	-4.41	0.45095	-4.42	0.000	0	57.98
Symfony 2.7.0 demo app	50	30	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.74000	0.74395	0.00095	0.12800	0.74155	0.00	0.74144	0.00	0.000	0	28.05
Symfony 2.7.0 demo app	50	30	100	PHP - previous master	60047025db	https://github.com/php/php-src/commit/60047025db	0.72854	0.73503	0.00172	0.23530	0.73032	-1.51	0.72991	-1.55	0.000	0	27.83
Symfony 2.7.0 demo app	50	30	100	PHP - master	359f4420a4	https://github.com/php/php-src/commit/359f4420a4	0.72871	0.74003	0.00199	0.27307	0.73015	-1.54	0.72969	-1.59	0.000	0	27.83
Symfony 2.7.0 demo app	50	30	100	PHP - master (JIT)	359f4420a4	https://github.com/php/php-src/commit/359f4420a4	0.69621	0.70987	0.00238	0.33776	0.70353	-5.13	0.70312	-5.17	0.000	0	29.19
Wordpress 6.2 main page	10	30	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.58358	0.58626	0.00074	0.12716	0.58454	0.00	0.58431	0.00	0.000	0	43.16
Wordpress 6.2 main page	10	30	20	PHP - previous master	60047025db	https://github.com/php/php-src/commit/60047025db	0.57944	0.58205	0.00068	0.11696	0.58042	-0.70	0.58028	-0.69	0.000	0	43.60
Wordpress 6.2 main page	10	30	20	PHP - master	359f4420a4	https://github.com/php/php-src/commit/359f4420a4	0.57946	0.58146	0.00047	0.08167	0.58016	-0.75	0.58013	-0.72	0.000	0	43.60
Wordpress 6.2 main page	10	30	20	PHP - master (JIT)	359f4420a4	https://github.com/php/php-src/commit/359f4420a4	0.51869	0.52160	0.00061	0.11751	0.51966	-11.10	0.51956	-11.08	0.000	0	61.40
bench.php	5	20	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.21617	0.22046	0.00111	0.50941	0.21770	0.00	0.21753	0.00	0.000	0	25.33
bench.php	5	20	0	PHP - previous master	60047025db	https://github.com/php/php-src/commit/60047025db	0.21866	0.22171	0.00082	0.37221	0.21977	0.95	0.21948	0.90	0.000	0	25.20
bench.php	5	20	0	PHP - master	359f4420a4	https://github.com/php/php-src/commit/359f4420a4	0.21919	0.27623	0.01971	8.66434	0.22754	4.52	0.21981	1.05	0.000	0	25.19
bench.php	5	20	0	PHP - master (JIT)	359f4420a4	https://github.com/php/php-src/commit/359f4420a4	0.08309	0.08474	0.00043	0.51540	0.08372	-61.54	0.08369	-61.53	0.000	0	26.47
micro_bench.php	5	20	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	1.37188	1.57363	0.05331	3.80986	1.39916	0.00	1.38301	0.00	0.000	0	20.64
micro_bench.php	5	20	0	PHP - previous master	60047025db	https://github.com/php/php-src/commit/60047025db	1.29246	1.30616	0.00372	0.28630	1.29947	-7.12	1.29994	-6.01	0.000	0	20.79
micro_bench.php	5	20	0	PHP - master	359f4420a4	https://github.com/php/php-src/commit/359f4420a4	1.28909	1.30251	0.00335	0.25856	1.29600	-7.37	1.29581	-6.30	0.000	0	20.79
micro_bench.php	5	20	0	PHP - master (JIT)	359f4420a4	https://github.com/php/php-src/commit/359f4420a4	0.56420	0.57700	0.00389	0.68116	0.57128	-59.17	0.57064	-58.74	0.000	0	22.23
